+1620856551489,809888,96.24,0.14
+1620856552494,579893,97.49,0.14
+1620856553499,618275,96.53,0.14
+1620856554506,629856,98.24,0.14
+1620856555512,726770,96.74,0.13
+1620856556518,583548,97.49,0.13
+1620856557523,638526,97.00,0.13
+1620856558529,614807,97.24,0.13
+1620856559535,824332,95.74,0.13
+1620856560541,645546,97.49,0.12
+1620856561546,689753,96.02,0.12
+1620856562552,605501,97.49,0.12
+1620856563557,604678,97.49,0.12
+1620856564563,651565,95.76,0.12
+1620856565568,699634,96.75,0.11
+1620856566574,611505,97.23,0.11
+1620856567580,614419,96.76,0.11
+1620856568585,634118,96.50,0.11
+1620856569591,813700,96.73,0.11
+1620856570597,3660017,69.58,0.10
+1620856571603,653629,97.49,0.10
+1620856572608,609113,97.24,0.10
+1620856573614,659216,95.78,0.10
+1620856574619,1512604,92.19,0.10
+1620856575625,747752,95.98,0.09
+1620856576631,676798,96.00,0.09
+1620856577638,3741066,93.25,0.09
+1620856578642,836925,85.71,0.09
+1620856579646,909131,95.49,0.09
+1620856580653,603633,96.00,0.09
+1620856581659,658399,97.25,0.09
+1620856582665,639841,97.00,0.09
+1620856583670,617974,97.74,0.09
+1620856584676,633245,97.23,0.09
+1620856585682,720632,96.75,0.08
+1620856586689,648089,97.24,0.08
+1620856587694,651763,97.01,0.08
+1620856588700,761482,96.76,0.08
+1620856589705,658137,96.49,0.08
+1620856590711,697103,96.99,0.07
+1620856591717,661365,98.24,0.07
+1620856592722,619059,97.00,0.07
+1620856593728,641581,97.73,0.07
+1620856594733,620812,97.99,0.07
+1620856595738,681930,96.51,0.07
+1620856596743,660380,97.73,0.07
+1620856597748,642813,95.78,0.07
+1620856598752,684563,96.75,0.07
+1620856599756,701033,96.00,0.07
+1620856600759,614451,96.73,0.06
+1620856601762,595812,97.24,0.06
+1620856602765,641115,97.51,0.06
+1620856603767,697688,98.48,0.06
+1620856604771,618189,96.01,0.06
+1620856605776,709114,95.76,0.06
+1620856606782,619095,97.49,0.06
+1620856607788,639623,96.98,0.06
+1620856608794,819933,97.01,0.06
+1620856609798,665970,93.25,0.06
+1620856610803,624240,95.99,0.05
+1620856611810,597714,96.53,0.05
+1620856612816,678598,97.23,0.05
+1620856613822,607604,97.49,0.05
+1620856614828,675257,97.24,0.05
+1620856615834,624179,96.23,0.05
+1620856616840,628289,96.75,0.05
+1620856617846,635493,97.25,0.05
+1620856618852,728087,96.99,0.05
+1620856619858,643528,95.24,0.05
+1620856620865,684341,96.73,0.12
+1620856621871,610549,96.26,0.12
+1620856622877,658213,97.50,0.12
+1620856623883,611524,97.49,0.12
+1620856624890,692338,97.48,0.12
+1620856625895,668899,96.50,0.11
+1620856626901,602485,96.26,0.11
+1620856627907,735774,96.76,0.11
+1620856628913,722820,96.99,0.11
+1620856629919,1534948,96.25,0.11
+1620856630923,643275,89.00,0.10
+1620856631928,634424,97.24,0.10
+1620856632934,1562837,96.98,0.10
+1620856633940,3956879,89.55,0.10
+1620856634945,807627,84.13,0.10
+1620856635949,609414,94.21,0.34
+1620856636953,626494,96.03,0.34
+1620856637958,626781,96.98,0.34
+1620856638963,828124,96.76,0.34
+1620856639969,666094,93.70,0.34
+1620856640975,606512,97.49,0.31
+1620856641981,537914,97.99,0.31
+1620856642986,1219810,98.50,0.31
+1620856643992,549091,98.25,0.31
+1620856644998,658206,95.73,0.31
+1620856646003,550914,96.51,0.28
+1620856647010,608939,98.49,0.28
+1620856648015,570942,97.76,0.28
+1620856649021,653501,97.76,0.28
+1620856650027,578732,97.74,0.28
+1620856651033,,98.49,0.26
